UCL_CODE_2021,name,area_sqkm,population,lat,lon,state,chargers_5km,chargers_10km,chargers_20km
115098,Lightning Ridge,2.9268,1396,-29.42870054215808,147.97870068885365,Unspecified,0,0,0
115099,Macksville,11.3702,3023,-30.71118015252601,152.91645485191373,Unspecified,2,2,3
115100,Maclean,3.6455,2711,-29.457085565958486,153.20510208678775,Unspecified,2,2,3
115101,Malua Bay,4.4412,2372,-35.786683423470684,150.226587073918,Unspecified,0,4,4
115102,Manilla,3.2074,2014,-30.748951918230446,150.72354654343582,Unspecified,0,0,0
115103,Merriwa,3.8132,1042,-32.14059129610974,150.36081937681442,Unspecified,0,0,0
115104,Milton,3.1512,1538,-35.318484794956234,150.43507247156364,Unspecified,0,0,0
115105,Molong,3.8336,1621,-33.09286320368263,148.86195835573722,Unspecified,0,0,0
115106,Moruya,6.301,2762,-35.91392143779111,150.0786114078005,Unspecified,0,0,0
115107,Mullumbimby,4.2217,3589,-28.55397445958245,153.48930146953498,Unspecified,1,1,5
115108,Murrumbateman,9.0224,2111,-34.97292521059618,149.00745459439813,Unspecified,1,1,5
115109,Narooma,8.047,3395,-36.2071678391523,150.12682801051025,Unspecified,1,1,2
115110,Narrandera,7.8069,3783,-34.743606659754896,146.55302664767365,Unspecified,1,1,1
115111,Narromine,10.4355,3507,-32.22582639935266,148.23652639071523,Unspecified,0,0,0
115112,North Rothbury,3.4167,2283,-32.677621242815285,151.3579265590384,Unspecified,0,0,1
115113,Nyngan,11.6282,1761,-31.55884351778651,147.1980736348806,Unspecified,1,1,1
115114,Oberon,7.1806,2540,-33.70312715298199,149.86120823247433,Unspecified,0,0,0
115115,Ocean Shores,10.5118,4818,-28.519935053211288,153.5366553307608,Unspecified,0,1,5
115116,Old Bar,5.3435,4485,-31.966146308544086,152.58355984614815,Unspecified,0,0,2
115117,Old Erowal Bay,1.1767,1719,-35.0888863319382,150.6477534531418,Unspecified,0,0,0
115118,Pambula,7.5931,1627,-36.92959329051197,149.8853630647786,Unspecified,0,1,3
115119,Picton,4.4049,3847,-34.17503286816385,150.61322117361527,Unspecified,1,1,3
115120,Pitt Town,5.2462,3325,-33.57538290303355,150.86450159494802,Unspecified,0,0,3
115121,Portland (NSW),4.7269,1841,-33.35213052129586,149.98481570660977,Unspecified,0,0,0
115122,Quirindi,9.78,2602,-31.508245072578795,150.6812614380182,Unspecified,0,0,0
115123,Robertson,3.3152,1476,-34.58740777573484,150.60096157859914,Unspecified,0,0,0
115124,Sandy Beach - Emerald Beach,7.3584,4459,-30.15748710519724,153.18960415422143,Unspecified,0,1,3
115125,Shoalhaven Heads,4.2675,3264,-34.85027663804927,150.74090872420592,Unspecified,0,1,4
115126,Skennars Head,0.8228,1053,-28.82812685845078,153.6022483091652,Unspecified,0,2,4
115127,Smiths Lake,5.2453,1332,-32.3728925039494,152.50358765036975,Unspecified,0,0,0
115128,South Golden Beach,2.5033,2219,-28.49635488623485,153.5431757388491,Unspecified,0,1,5
115129,Stanwell Park,3.2243,1713,-34.23867412410344,150.97855116698594,Unspecified,0,1,4
115130,Sussex Inlet,10.9311,3659,-35.17213321012255,150.58423067985112,Unspecified,0,0,0
115131,Tanilba Bay,3.3053,4182,-32.732583304230644,152.00223537734144,Unspecified,0,2,3
115132,Tathra,6.8041,1523,-36.71632462722036,149.97202270457677,Unspecified,0,0,2
115133,Tea Gardens,1.9817,2837,-32.65966577936532,152.15147302332417,Unspecified,0,1,2
115134,Temora,16.1066,4016,-34.44195699799812,147.5257370647712,Unspecified,1,1,1
115135,Tenterfield,7.2653,2826,-29.05016527921304,152.01886908274346,Unspecified,1,1,1
115136,The Oaks,1.9297,2171,-34.08026292160326,150.56941998039625,Unspecified,0,0,1
115137,Thirlmere,7.31,4118,-34.209433538405385,150.56486237940493,Unspecified,0,1,3
115138,Thrumster,5.9061,2115,-31.46591858421934,152.83184022099735,Unspecified,3,4,4
115139,Tocumwal,18.5863,2587,-35.80812894776576,145.5832860207965,Unspecified,0,0,0
115140,Tomakin,3.8804,1233,-35.82217614767693,150.18910676803927,Unspecified,0,0,4
115141,Tumbarumba,6.2643,1505,-35.77251394538811,148.00766899933276,Unspecified,0,0,0
115142,Tuross Head,3.726,2292,-36.05392333498825,150.1310459653753,Unspecified,0,0,1
115143,Uralla,8.2332,2385,-30.64210597895725,151.49314014721062,Unspecified,0,0,0
115144,Urunga,5.3632,2731,-30.49761156874082,153.0107544423074,Unspecified,0,0,1
115145,Valla Beach,2.1837,1455,-30.595050584152588,153.00720033232966,Unspecified,0,1,3
115146,Vincentia,3.3417,2705,-35.07224222186176,150.68161711592975,Unspecified,0,0,0
115147,Vincentia West,0.9218,1162,-35.072926059185576,150.6558785738594,Unspecified,0,0,0
115148,Walcha,3.6711,1369,-30.982689267377296,151.59407726447347,Unspecified,0,0,0
115149,Walgett,5.7855,1377,-30.025911674878856,148.12028556639575,Unspecified,1,1,1
115150,Wallacia,1.6786,1081,-33.86887233284769,150.64406792365764,Unspecified,0,0,8
115151,Wallerawang,5.5764,2079,-33.40279237535142,150.0758910416013,Unspecified,0,0,2
115152,Warialda,3.5224,1130,-29.53876212192312,150.57452841820935,Unspecified,0,0,0
115153,Warren,2.9812,1365,-31.701347800642125,147.83356135528453,Unspecified,0,0,0
115154,Wee Waa,4.5377,1571,-30.22282849087857,149.4414155334277,Unspecified,0,0,0
115155,Wellington,9.3292,4581,-32.556417041832226,148.94923342297648,Unspecified,1,1,1
115156,Wentworth,4.6048,1305,-34.10265635301364,141.91875893917052,Unspecified,0,0,0
115157,Werris Creek,5.4511,1349,-31.345891153261995,150.64878868375396,Unspecified,0,0,0
115158,West Wyalong,8.2726,2698,-33.91906265245981,147.2072728954637,Unspecified,1,1,1
115159,Wilberforce,1.7281,1817,-33.55447446341884,150.84251915009244,Unspecified,0,0,1
115160,Wilton,2.9324,2959,-34.23053212356912,150.6864947211813,Unspecified,0,3,3
115161,Wingham,7.2557,4556,-31.868547924741204,152.36594219339443,Unspecified,0,0,2
115162,Wollongbar,2.9112,2988,-28.82326876824312,153.42028436301717,Unspecified,0,0,5
115163,Wyee,5.5092,1980,-33.1792552821443,151.47999883599778,Unspecified,0,1,3
115164,Wyee Point,0.95,1352,-33.145507437693404,151.52209065317257,Unspecified,0,0,2
115165,Yenda,3.0959,1070,-34.249445040977925,146.19535377751671,Unspecified,0,0,3
121001,Adelong (L),2.6267,856,-35.308642831054534,148.063833941749,Unspecified,0,0,0
121002,Baradine (L),3.189,586,-30.947916229677155,149.0621213661891,Unspecified,0,0,0
121003,Bawley Point (L),2.2931,716,-35.514728577114475,150.39303119393284,Unspecified,0,0,0
121004,Beechwood (L),9.9177,914,-31.440310945284104,152.67127839504238,Unspecified,0,0,3
121005,Belimbla Park (L),3.6613,576,-34.08412096425705,150.53975897859092,Unspecified,0,0,1
121006,Berrara - Cudmirrah (L),1.3536,612,-35.20240087435992,150.5526895915429,Unspecified,0,0,0
121007,Berrigan (L),9.1952,957,-35.66711456475555,145.81840140996815,Unspecified,0,0,0
121008,Boggabilla (L),4.2486,529,-28.60760820328969,150.35931104023956,Unspecified,0,0,0
